"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"202297_s_at",0.167635455771428,6.46154585891667,2.65790041814834,0.0133262907861186,0.0388268087682925,-3.94976816921731
"217195_at",0.268079773771428,0.925456219875,2.65733377728743,0.0133437914573468,0.0388727137825704,-3.95098683932884
"203687_at",0.311290569200001,2.8629652205,2.65725258967572,0.013346300692365,0.0388749399220469,-3.95116143684166
"207880_at",0.251404421771428,1.802280418625,2.65656551690045,0.0133675534730999,0.0389306550795424,-3.95263889590307
"208933_s_at",-0.416217444742857,5.793944046,-2.65652125721053,0.0133689236144229,0.0389306550795424,-3.95273406308581
"214948_s_at",-0.212601716800002,5.90439150929167,-2.6562062969434,0.0133786775916928,0.0389539668945419,-3.95341126468531
"214630_at",0.285641870542857,2.85931133891667,2.65610733060229,0.0133817438459516,0.0389578028824182,-3.95362404455648
"212861_at",-0.278974251857143,6.23976161341667,-2.65538849288938,0.0134040351854664,0.0390175998728126,-3.95516942702074
"204867_at",-0.281398748685714,2.13773506,-2.65495186510933,0.0134175920739815,0.039051959580884,-3.95610798892075
"211971_s_at",0.265378274942855,5.97036696966667,2.65480780951644,0.0134220676797056,0.0390598826519664,-3.95641762727437
"205072_s_at",0.213937207571429,1.28696019445833,2.65455117552648,0.0134300443984269,0.0390779909957883,-3.95696922213862
"208989_s_at",-0.200039752142858,4.31497248654167,-2.65393406639431,0.0134492435881585,0.0391287448626627,-3.95829547846295
"215151_at",0.250735763971429,0.964616189958333,2.65386768301729,0.0134513104029733,0.0391296476687172,-3.95843813547136
"202783_at",-0.279575231542857,3.249012518,-2.65377361113473,0.013454239794964,0.0391330591346667,-3.95864029124839
"204491_at",0.428589202457143,2.40361427675,2.65352965133558,0.0134618394666501,0.0391500519319276,-3.95916452972653
"219882_at",-0.242141847942857,1.524503656,-2.65329725605224,0.0134690826218693,0.0391660035984052,-3.95966389210072
"201698_s_at",0.231291510342857,6.99801410625,2.65315285887314,0.0134735849412515,0.0391739822156433,-3.95997415490664
"201062_at",0.293969660657143,0.62742242525,2.65295930807448,0.0134796220834408,0.0391864206123985,-3.96039001790082
"206907_at",0.221898734828571,0.941232701083333,2.65183092246705,0.0135148685318684,0.0392792399321265,-3.96281412283857
"218541_s_at",0.345543741771429,0.921257629375,2.65182425134063,0.0135150771683687,0.0392792399321265,-3.9628284526436
"211534_x_at",0.284037998857143,1.63767304195833,2.65153907834295,0.0135239986433056,0.039300041452768,-3.9634409947381
"61297_at",0.228811582942857,3.01103985308333,2.65047877654604,0.0135572179071175,0.0393914364571353,-3.96571815942596
"202192_s_at",-0.276191133314286,6.42874899875,-2.65026491048023,0.0135639275728434,0.0394057921935619,-3.96617740768486
"206376_at",-0.251657872114286,1.44378546495833,-2.65015151273168,0.0135674864841296,0.0394109918381739,-3.96642090536738
"201401_s_at",0.335839396885714,2.01589325829167,2.64953772213732,0.0135867650426298,0.0394618467867879,-3.96773878808258
"205981_s_at",0.306536823371428,4.584608589625,2.64944617191925,0.0135896427389821,0.0394650594832883,-3.96793534261289
"214640_at",-0.2870575352,1.94204377758333,-2.64909105786075,0.0136008104259757,0.0394923427866867,-3.96869772126617
"208657_s_at",0.226755336285715,4.55713181070833,2.64897536510191,0.0136044506041289,0.0394973664112051,-3.96894608438062
"205185_at",-0.403459349514284,8.81341033520833,-2.64892338095406,0.0136060865394617,0.0394973664112051,-3.96905767919991
"214155_s_at",0.3516092212,1.464629894,2.64789617677212,0.0136384502884766,0.0395831651860666,-3.97126253181737
"213715_s_at",0.295850731285714,1.76715510441667,2.64787252574585,0.0136391962996924,0.0395831651860666,-3.97131329206852
"215445_x_at",-0.229630669771429,1.77409815470833,-2.64707725992506,0.0136643031477213,0.0396462463232774,-3.97301995546934
"209385_s_at",-0.288736781428571,5.826676891375,-2.64705375185953,0.0136650459634334,0.0396462463232774,-3.97307040001709
"220117_at",-0.294547550971428,1.24525109991667,-2.64701497628414,0.0136662712895115,0.0396462463232774,-3.97315360564137
"211624_s_at",0.242294513685714,1.70809952345833,2.64651676258314,0.0136820242132982,0.0396867777864121,-3.97422262365876
"211927_x_at",-0.188345085428574,10.4562977720833,-2.64574670683904,0.0137064058558407,0.0397511301517692,-3.97587470825297
"210457_x_at",0.309862529171428,1.900084326125,2.64570339186293,0.0137077785081425,0.0397511301517692,-3.97596762846419
"200607_s_at",-0.506371386828571,4.76181058016667,-2.64544335633104,0.0137160217400262,0.0397698576470863,-3.97652544402497
"207660_at",-0.276790816285715,0.983021613875,-2.64513513119881,0.0137257986029532,0.0397930264807378,-3.97718659312592
"207384_at",0.211316575457143,2.32139763295833,2.64474670472272,0.0137381287196695,0.0398235905644863,-3.97801971322552
"220414_at",-0.326080947885714,9.26438833454167,-2.64428603246385,0.0137527656095279,0.0398608326155937,-3.97900769999695
"207616_s_at",-0.469431902714286,4.87926936195833,-2.64414743513797,0.0137571720988475,0.039861788408131,-3.97930492536984
"213528_at",-0.3281712926,3.15898180216667,-2.64414125350831,0.0137573686650153,0.039861788408131,-3.97931818181981
"202321_at",-0.403970414142858,2.57209578870833,-2.64410682500523,0.0137584634856632,0.039861788408131,-3.97939201311618
"203147_s_at",0.259067715114285,6.1079001955,2.64375999719213,0.0137694970953038,0.0398885678533269,-3.98013574847062
"201642_at",0.211665966485715,6.59404279979167,2.64352854101059,0.0137768649955666,0.0399015978539481,-3.98063205069561
"213472_at",-0.207450297114286,0.729256096583333,-2.64350616905524,0.0137775773529905,0.0399015978539481,-3.98068002067123
"201956_s_at",-0.27409339437143,5.43051636516667,-2.64273343525984,0.0138022035241316,0.0399677223329104,-3.98233677541589
"204336_s_at",0.229374507257143,4.005539780625,2.64261712539053,0.0138059137509725,0.0399732701625182,-3.98258612189267
"204604_at",-0.3317686158,4.62211581404167,-2.64223388217936,0.0138181456149676,0.0400034866620705,-3.98340767894665
"216916_s_at",0.318465178571429,1.709444309,2.64203437869574,0.0138245171182957,0.0400167317884969,-3.98383532692961
"212739_s_at",0.295800617999999,4.64888258445833,2.64160906900042,0.0138381093164463,0.0400508719296446,-3.98474694291872
"203482_at",-0.307391275714286,4.062515236,-2.64123660998912,0.013850022749788,0.0400801450762572,-3.98554520908775
"208485_x_at",-0.368349791057143,4.17505217829167,-2.64078050733168,0.0138646246543761,0.0401171896902891,-3.98652265552993
"210597_x_at",0.252515060228571,2.9012743435,2.63994831708736,0.0138913038952064,0.040189165827729,-3.98830582460075
"216466_at",0.396235770742857,1.40674517008333,2.63986538790923,0.0138939651538252,0.0401916454657531,-3.98848350286218
"202784_s_at",-0.435635939971428,2.70534912766667,-2.63968128587028,0.0138998748271144,0.0402020739712502,-3.98887793563403
"221285_at",0.228925918914285,0.690128953458333,2.63964065158547,0.0139011795035481,0.0402020739712502,-3.9889649911828
"213650_at",-0.49938716797143,5.26666297983333,-2.63901285774275,0.0139213511121879,0.0402542214432235,-3.99030988960941
"200099_s_at",-0.20048850542857,10.7508999066667,-2.63896701462195,0.0139228251658678,0.0402542214432235,-3.99040809039299
