"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","celltype"
"RILPL1",5.61089141321524e-05,0.882375407742469,0.131,0.089,1,"RILPL1","Endothelial"
"RASA4",5.66144573670797e-05,0.439586821544681,0.359,0.295,1,"RASA4","Endothelial"
"RNF19B",5.67207229776063e-05,0.451388850260157,0.116,0.076,1,"RNF19B","Endothelial"
"C8orf33",5.67222666188676e-05,0.377908402926421,0.292,0.232,1,"C8orf33","Endothelial"
"SRF",5.72734980716718e-05,0.558142205768899,0.127,0.085,1,"SRF","Endothelial"
"RHEB",5.75251033064472e-05,0.347944258826801,0.533,0.472,1,"RHEB","Endothelial"
"DNAJC5",5.77053278294438e-05,0.534660030207743,0.142,0.099,1,"DNAJC5","Endothelial"
"PFKFB3",5.79367756513499e-05,0.618316652546063,0.157,0.111,1,"PFKFB3","Endothelial"
"DCUN1D5",5.79471524600963e-05,0.396855079987741,0.193,0.141,1,"DCUN1D5","Endothelial"
"TNKS1BP1",5.79576726488402e-05,0.371876930745177,0.26,0.201,1,"TNKS1BP1","Endothelial"
"B4GALT5",5.87797580676681e-05,0.339156260026664,0.189,0.138,1,"B4GALT5","Endothelial"
"ABCC4",5.89369399420252e-05,0.566505423964934,0.117,0.077,1,"ABCC4","Endothelial"
"AIMP2",5.97784468351078e-05,0.597007511718362,0.173,0.124,1,"AIMP2","Endothelial"
"TBC1D9",6.26398784655759e-05,0.516498252579433,0.194,0.144,1,"TBC1D9","Endothelial"
"DHX9",6.32540302172855e-05,0.354573501925866,0.316,0.253,1,"DHX9","Endothelial"
"WWC3",6.4770497596735e-05,0.477839036883362,0.219,0.165,1,"WWC3","Endothelial"
"DNMT1",6.71420443334657e-05,0.561443330098684,0.251,0.194,1,"DNMT1","Endothelial"
"HIVEP1",6.725605294457e-05,0.483836870888513,0.183,0.134,1,"HIVEP1","Endothelial"
"ZNF330",6.90295460029471e-05,0.273519772418343,0.192,0.139,1,"ZNF330","Endothelial"
"SEMA4A",6.90721319925887e-05,0.502240801129602,0.229,0.176,1,"SEMA4A","Endothelial"
"GBP4",6.96085963546146e-05,-0.351953223246547,0.288,0.338,1,"GBP4","Endothelial"
"LINC01116",6.97997445142048e-05,-0.281436438997089,0.234,0.278,1,"LINC01116","Endothelial"
"FAM91A1",7.03782099147621e-05,0.332139697290872,0.232,0.177,1,"FAM91A1","Endothelial"
"AP1S2",7.0665376126618e-05,-0.270234740912178,0.408,0.452,1,"AP1S2","Endothelial"
"NOP58",7.21525613385173e-05,0.411098612902911,0.322,0.259,1,"NOP58","Endothelial"
"MAP2K6",7.22371056063606e-05,-0.623419421784582,0.072,0.107,1,"MAP2K6","Endothelial"
"CEP68",7.28639857665979e-05,-0.423490511330744,0.302,0.344,1,"CEP68","Endothelial"
"NFATC2",7.32601196378682e-05,0.590922274963158,0.203,0.153,1,"NFATC2","Endothelial"
"UBR5",7.33858550399017e-05,0.40998920721503,0.317,0.256,1,"UBR5","Endothelial"
"CTNNB1",7.35266235840044e-05,0.323930464616368,0.547,0.483,1,"CTNNB1","Endothelial"
"HOTAIRM1",7.39897352654747e-05,0.34340596013122,0.335,0.274,1,"HOTAIRM1","Endothelial"
"NRIP1",7.48748540581675e-05,0.431941959870344,0.185,0.136,1,"NRIP1","Endothelial"
"FAM162A",7.60384583766169e-05,-0.297280540345135,0.273,0.318,1,"FAM162A","Endothelial"
"PTK2B",7.66572111430547e-05,-0.498089713534077,0.112,0.154,1,"PTK2B","Endothelial"
"TMEM42",7.69494584704117e-05,-0.843708204122897,0.069,0.103,1,"TMEM42","Endothelial"
"IFI27",7.72882269644787e-05,0.601415025447531,0.922,0.931,1,"IFI27","Endothelial"
"NPM3",7.90382175708517e-05,0.552875902541873,0.146,0.1,1,"NPM3","Endothelial"
"CREM",7.93524678085785e-05,0.25703124149557,0.243,0.188,1,"CREM","Endothelial"
"NTHL1",7.95850441732405e-05,-0.656219821537085,0.225,0.268,1,"NTHL1","Endothelial"
"MGAT2",7.95937530505538e-05,0.562756485127641,0.171,0.124,1,"MGAT2","Endothelial"
"DNAJC1",8.08619792809822e-05,0.4079464923419,0.35,0.29,1,"DNAJC1","Endothelial"
"RAPGEF4",8.12907488886637e-05,0.474982061411988,0.227,0.173,1,"RAPGEF4","Endothelial"
"GSDMD",8.32996646501348e-05,-0.339672613727869,0.401,0.44,1,"GSDMD","Endothelial"
"CNIH1",8.33189378828375e-05,0.332654817499053,0.444,0.375,1,"CNIH1","Endothelial"
"USP38",8.37367327941321e-05,0.252547427668261,0.139,0.095,1,"USP38","Endothelial"
"F2R",8.39496463560717e-05,0.339517475814226,0.366,0.304,1,"F2R","Endothelial"
"CIAPIN1",8.41516235904269e-05,0.688779166867006,0.212,0.16,1,"CIAPIN1","Endothelial"
"OTUD4",8.42373143109138e-05,0.289964881786801,0.244,0.186,1,"OTUD4","Endothelial"
"DRAM1",8.44342868155648e-05,0.562132348379028,0.13,0.088,1,"DRAM1","Endothelial"
"SDE2",8.46173513920543e-05,0.279250185571005,0.162,0.114,1,"SDE2","Endothelial"
"TIMM13",8.54137891194274e-05,0.33757481029876,0.493,0.429,1,"TIMM13","Endothelial"
"IFI44",8.68855457262486e-05,0.581054517673246,0.281,0.227,1,"IFI44","Endothelial"
"SESN3",8.79080329144924e-05,-0.540564701692346,0.15,0.195,1,"SESN3","Endothelial"
"DEF8",8.79991556491831e-05,0.322557101451847,0.22,0.165,1,"DEF8","Endothelial"
"PIP4K2A",8.82964415810491e-05,0.405069078987126,0.175,0.126,1,"PIP4K2A","Endothelial"
"FBXW11",8.9020634279613e-05,0.784465201086062,0.169,0.123,1,"FBXW11","Endothelial"
"TMEM30A",8.96056892299952e-05,0.380038047133707,0.365,0.302,1,"TMEM30A","Endothelial"
"ITGB1BP1",8.98172741413501e-05,-0.255321213133412,0.411,0.456,1,"ITGB1BP1","Endothelial"
"MICAL3",9.21034309142839e-05,0.63879804232777,0.166,0.119,1,"MICAL3","Endothelial"
"CNTNAP3B",9.34734402891223e-05,-0.313223275494405,0.347,0.397,1,"CNTNAP3B","Endothelial"
"GOLIM4",9.45667513131233e-05,0.364457553636711,0.353,0.289,1,"GOLIM4","Endothelial"
"CCT3",9.47718517631067e-05,0.361921693315117,0.53,0.473,1,"CCT3","Endothelial"
"LITAF",9.49177988376447e-05,0.419732590214811,0.299,0.242,1,"LITAF","Endothelial"
"GABPB1",9.57511397862759e-05,0.409866475411548,0.134,0.091,1,"GABPB1","Endothelial"
"NTMT1",9.73369196071568e-05,0.425777596424239,0.24,0.182,1,"NTMT1","Endothelial"
"STIP1",9.8116733014514e-05,0.300306106037496,0.281,0.219,1,"STIP1","Endothelial"
"ETFB",9.94629883405448e-05,-0.455963874448849,0.364,0.404,1,"ETFB","Endothelial"
"CHSY1",0.000100408498773093,0.273911452633196,0.299,0.238,1,"CHSY1","Endothelial"
"ARNTL2",0.000101383693808968,0.566339565207807,0.142,0.099,1,"ARNTL2","Endothelial"
