"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","celltype"
"SLC20A1",4.40440687864788e-38,0.773432206473201,0.214,0.119,1.094495109344e-33,"SLC20A1","Fibroblast"
"MAPK6",4.51503762216291e-38,0.504342947692797,0.247,0.141,1.12198684910748e-33,"MAPK6","Fibroblast"
"PSMA2",4.5838075088544e-38,0.338830752783195,0.652,0.521,1.13907616595032e-33,"PSMA2","Fibroblast"
"RPL36A",4.74198733635291e-38,0.32410773057206,0.86,0.769,1.1783838530837e-33,"RPL36A","Fibroblast"
"CLU",5.8301997260845e-38,-1.06311461032225,0.464,0.521,1.448804631932e-33,"CLU","Fibroblast"
"ZSCAN18",6.01670178914861e-38,-0.967635114966882,0.156,0.238,1.49515039460343e-33,"ZSCAN18","Fibroblast"
"TFG",7.88591139361087e-38,0.295516286956942,0.589,0.452,1.9596489813123e-33,"TFG","Fibroblast"
"NAALADL2",8.15616704635755e-38,-1.46542822526579,0.07,0.134,2.02680751101985e-33,"NAALADL2","Fibroblast"
"TMED9",8.34760849253053e-38,0.28771194726884,0.765,0.659,2.07438071039384e-33,"TMED9","Fibroblast"
"LSM10",8.42725567128961e-38,0.405132880317693,0.437,0.303,2.09417303431547e-33,"LSM10","Fibroblast"
"IMPA2",8.46848361883913e-38,0.694026560406498,0.231,0.131,2.10441817928152e-33,"IMPA2","Fibroblast"
"SNRPB2",8.69960017678463e-38,0.339242017481011,0.638,0.501,2.16185064393098e-33,"SNRPB2","Fibroblast"
"CHPF2",1.16142981784082e-37,0.375649569432774,0.274,0.162,2.88615309733445e-33,"CHPF2","Fibroblast"
"SNRPF",1.20089671708784e-37,0.275409512104004,0.628,0.484,2.98422834196329e-33,"SNRPF","Fibroblast"
"SLC35B1",1.38479364239749e-37,0.49863140819612,0.333,0.213,3.44121220135775e-33,"SLC35B1","Fibroblast"
"ACTR1A",1.3956460562818e-37,0.396186469795693,0.389,0.26,3.46818044986028e-33,"ACTR1A","Fibroblast"
"PTK7",1.52531904475402e-37,0.310760187943513,0.448,0.309,3.79041782621373e-33,"PTK7","Fibroblast"
"MRPL41",1.52668846390292e-37,0.311188916468874,0.659,0.517,3.79382083279876e-33,"MRPL41","Fibroblast"
"METTL26",1.68467449343144e-37,0.380124790678985,0.566,0.432,4.18641611617714e-33,"METTL26","Fibroblast"
"DRAP1",1.71237358709259e-37,0.312626829358047,0.72,0.598,4.25524836392508e-33,"DRAP1","Fibroblast"
"MSC",1.74143888728799e-37,0.424064547947562,0.311,0.193,4.32747563491066e-33,"MSC","Fibroblast"
"RPL22L1",1.79998657957571e-37,0.48849147538678,0.551,0.43,4.47296665024563e-33,"RPL22L1","Fibroblast"
"ENY2",1.86754466910418e-37,0.27118907573085,0.72,0.601,4.64084850272388e-33,"ENY2","Fibroblast"
"PRICKLE1",1.93565716766345e-37,0.564972398739818,0.236,0.134,4.81010806164366e-33,"PRICKLE1","Fibroblast"
"NDRG2",2.88335876455305e-37,-0.743863403367474,0.158,0.248,7.16514652991432e-33,"NDRG2","Fibroblast"
"MORF4L2",3.43447031914415e-37,0.305471911453714,0.737,0.619,8.53465874307321e-33,"MORF4L2","Fibroblast"
"ECHDC2",3.69502414194911e-37,-0.942070279187448,0.198,0.282,9.18213499274354e-33,"ECHDC2","Fibroblast"
"GALNS",3.78130734758174e-37,0.486559933443533,0.227,0.127,9.39654875874063e-33,"GALNS","Fibroblast"
"ATP6V1E1",4.15671314513472e-37,0.361527737921718,0.459,0.322,1.03294321656598e-32,"ATP6V1E1","Fibroblast"
"KRT6C",4.21964476549914e-37,0.776195883671713,0.175,0.09,1.04858172422654e-32,"KRT6C","Fibroblast"
"STK38L",4.38875342322049e-37,0.86524778872777,0.215,0.121,1.09060522567029e-32,"STK38L","Fibroblast"
"FHAD1",4.83389647826487e-37,0.987137662142215,0.118,0.047,1.20122327484882e-32,"FHAD1","Fibroblast"
"MEG3",4.99308477221554e-37,-0.355558063477629,0.641,0.701,1.24078156589556e-32,"MEG3","Fibroblast"
"ELL2",5.05395271337233e-37,0.687219467049245,0.232,0.133,1.25590724927302e-32,"ELL2","Fibroblast"
"C5orf38",5.26333745703693e-37,-1.22071284710095,0.113,0.186,1.30793935807368e-32,"C5orf38","Fibroblast"
"RAB23",5.28447410747448e-37,0.585628258497242,0.338,0.222,1.31319181570741e-32,"RAB23","Fibroblast"
"FAM173A",5.78148157653916e-37,0.404519291341863,0.406,0.278,1.43669817176998e-32,"FAM173A","Fibroblast"
"GREM1",5.8401222838388e-37,1.14320660896316,0.138,0.062,1.45127038753394e-32,"GREM1","Fibroblast"
"FKBP14",5.93715245873677e-37,0.348809604700098,0.348,0.224,1.47538238599609e-32,"FKBP14","Fibroblast"
"EEF1E1",6.4213935783786e-37,0.564236715906848,0.266,0.158,1.59571630422708e-32,"EEF1E1","Fibroblast"
"GLRX3",6.50851237569771e-37,0.374579247984568,0.408,0.278,1.61736532536088e-32,"GLRX3","Fibroblast"
"DOK5",7.16244973010425e-37,1.10598243630549,0.128,0.054,1.77986875793091e-32,"DOK5","Fibroblast"
"ABL2",8.92039547979985e-37,0.630485065031171,0.363,0.247,2.21671827673026e-32,"ABL2","Fibroblast"
"PPP1R14C",9.53940098765183e-37,1.40914040185212,0.109,0.043,2.37054114543148e-32,"PPP1R14C","Fibroblast"
"CD59",1.02525934010175e-36,0.438896318062696,0.834,0.732,2.54776946015285e-32,"CD59","Fibroblast"
"TMEM181",1.02976286502899e-36,0.473586061122148,0.191,0.099,2.55896071959705e-32,"TMEM181","Fibroblast"
"SLC39A13",1.10975870606247e-36,0.383916200706216,0.407,0.28,2.75775038456523e-32,"SLC39A13","Fibroblast"
"CNIH4",1.29560240057254e-36,0.392587306428351,0.553,0.419,3.21957196542276e-32,"CNIH4","Fibroblast"
"PGM3",1.60340654433795e-36,0.414737275620461,0.331,0.212,3.9844652626798e-32,"PGM3","Fibroblast"
"TMEM176B",1.61600368842761e-36,-0.359491208586648,0.486,0.583,4.0157691657426e-32,"TMEM176B","Fibroblast"
"YARS",1.63829505282913e-36,0.508690098383785,0.242,0.138,4.0711632062804e-32,"YARS","Fibroblast"
"RASSF8",1.67502806381388e-36,0.398078763336285,0.429,0.298,4.16244473857749e-32,"RASSF8","Fibroblast"
"PLA2G16",1.76593579151035e-36,-0.8139753951963,0.131,0.214,4.38835044190322e-32,"PLA2G16","Fibroblast"
"BOC",1.86052097115771e-36,-1.1522374956585,0.156,0.233,4.62339461332691e-32,"BOC","Fibroblast"
"FNDC3B",2.0598616867571e-36,0.393858182617218,0.558,0.418,5.11875629159141e-32,"FNDC3B","Fibroblast"
"S100A4",2.06749985291809e-36,-0.257628021189116,0.94,0.961,5.13773713450144e-32,"S100A4","Fibroblast"
"ATP6V1D",2.17172907560806e-36,0.412571002231891,0.379,0.253,5.39674675288603e-32,"ATP6V1D","Fibroblast"
"PSMB3",2.19505584073519e-36,0.282984717641139,0.738,0.613,5.45471376422695e-32,"PSMB3","Fibroblast"
"LAMTOR1",2.19767714439516e-36,0.302701683429883,0.718,0.59,5.46122770382197e-32,"LAMTOR1","Fibroblast"
"FOSB",2.27599675178992e-36,-0.722618510037568,0.44,0.507,5.65585192819795e-32,"FOSB","Fibroblast"
"PTP4A2",2.39031139398155e-36,0.276814686492228,0.761,0.626,5.93992381404416e-32,"PTP4A2","Fibroblast"
"PCSK5",3.16526529601703e-36,0.877372679948789,0.221,0.128,7.86568426060233e-32,"PCSK5","Fibroblast"
"IGFBP2",3.34688147158601e-36,0.672210570806558,0.418,0.305,8.31700045689124e-32,"IGFBP2","Fibroblast"
"ATP1B1",4.10402735905856e-36,0.968007642401717,0.119,0.049,1.01985079872605e-31,"ATP1B1","Fibroblast"
"NUS1",4.25905574377754e-36,0.583084792984455,0.215,0.119,1.05837535232872e-31,"NUS1","Fibroblast"
"CCDC85B",4.31331451964899e-36,0.35323020603984,0.743,0.617,1.07185865813277e-31,"CCDC85B","Fibroblast"
"KRAS",5.64502487771197e-36,0.422326175525584,0.386,0.263,1.40278868211143e-31,"KRAS","Fibroblast"
"DAP",6.05538448102507e-36,0.369000740422714,0.458,0.33,1.50476304353473e-31,"DAP","Fibroblast"
"CDV3",6.06700953771767e-36,0.350864496897421,0.526,0.383,1.50765187012284e-31,"CDV3","Fibroblast"
"HMGA1",6.14562074008802e-36,1.43237899024937,0.11,0.044,1.52718675391187e-31,"HMGA1","Fibroblast"
"BATF3",8.51099922422641e-36,1.1143454094424,0.139,0.065,2.11498330722026e-31,"BATF3","Fibroblast"
"CTSA",8.83376310771037e-36,0.268742467442226,0.657,0.52,2.19519013226603e-31,"CTSA","Fibroblast"
