"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","celltype"
"FCER1G",6.31913155474275e-19,0.571425431260355,0.913,0.954,1.57030419135357e-14,"FCER1G","Macrophage"
"GLOD4",6.32593200211897e-19,-0.885137445900634,0.141,0.31,1.57199410252657e-14,"GLOD4","Macrophage"
"IQSEC1",6.70557457793788e-19,-0.604912864784176,0.128,0.296,1.66633528261756e-14,"IQSEC1","Macrophage"
"SDHC",6.81719559844902e-19,-0.502659064255217,0.201,0.395,1.69407310621458e-14,"SDHC","Macrophage"
"HTR2B",7.26687029638543e-19,-2.39817165364032,0.016,0.113,1.80581726865178e-14,"HTR2B","Macrophage"
"SNRNP70",7.95171609714386e-19,-0.463803581811416,0.241,0.45,1.97600145014025e-14,"SNRNP70","Macrophage"
"DNAJC13",7.95858574019949e-19,-0.763473372716999,0.108,0.267,1.97770855643957e-14,"DNAJC13","Macrophage"
"EFR3A",8.18630243734335e-19,-0.840686460841359,0.131,0.299,2.03429615567982e-14,"EFR3A","Macrophage"
"LARS",8.44005172818375e-19,-0.829881439859832,0.127,0.29,2.09735285445366e-14,"LARS","Macrophage"
"RTN1",8.6453396614692e-19,-1.42313152937379,0.053,0.18,2.1483669058751e-14,"RTN1","Macrophage"
"RAB13",8.790820200483e-19,-0.433155458442758,0.35,0.595,2.18451881982003e-14,"RAB13","Macrophage"
"NUCKS1",8.93841714073646e-19,-0.361951404320734,0.412,0.682,2.22119665947301e-14,"NUCKS1","Macrophage"
"EIF3I",9.00038136169871e-19,-0.317375168678216,0.228,0.448,2.23659476838213e-14,"EIF3I","Macrophage"
"EP300",9.30829600507986e-19,-0.504255844252505,0.215,0.412,2.31311155726235e-14,"EP300","Macrophage"
"CYBA",9.69643662258317e-19,0.505504497115188,0.931,0.964,2.40956450071192e-14,"CYBA","Macrophage"
"TMEM123",9.78726344970532e-19,-0.344510617514596,0.354,0.599,2.43213496725177e-14,"TMEM123","Macrophage"
"COL4A3BP",1.03224326475456e-18,-0.563769522357636,0.176,0.362,2.56512451291508e-14,"COL4A3BP","Macrophage"
"UBXN1",1.06730898984032e-18,-0.329779103428048,0.379,0.63,2.65226283975318e-14,"UBXN1","Macrophage"
"KIF16B",1.15749488369332e-18,-1.14330193672206,0.06,0.188,2.87637478597791e-14,"KIF16B","Macrophage"
"ECI2",1.16602273846072e-18,-1.1366096738087,0.07,0.205,2.89756650507488e-14,"ECI2","Macrophage"
"SPPL3",1.19266324745975e-18,-0.896043668948315,0.139,0.305,2.96376816993748e-14,"SPPL3","Macrophage"
"CANX",1.2105834702475e-18,-0.4407387560147,0.546,0.804,3.00829992356504e-14,"CANX","Macrophage"
"TBC1D12",1.24786573125772e-18,-1.46164949078486,0.06,0.188,3.10094634217544e-14,"TBC1D12","Macrophage"
"DIP2A",1.25185532459863e-18,-0.953164044417708,0.072,0.21,3.1108604816276e-14,"DIP2A","Macrophage"
"SIPA1",1.25582465787971e-18,-0.596942142068322,0.15,0.325,3.12072427483107e-14,"SIPA1","Macrophage"
"DUT",1.2795085121876e-18,-0.490824366815745,0.188,0.383,3.17957865278619e-14,"DUT","Macrophage"
"FUCA2",1.29084406181372e-18,-0.477116935720905,0.209,0.407,3.20774749360711e-14,"FUCA2","Macrophage"
"PTK2",1.29800709276703e-18,-1.21662819663256,0.029,0.137,3.22554762552607e-14,"PTK2","Macrophage"
"GRK3",1.34911186679973e-18,-0.580774446328472,0.16,0.34,3.35254298899733e-14,"GRK3","Macrophage"
"HOXB6",1.40195332184166e-18,-1.36915240157887,0.045,0.166,3.48385400477652e-14,"HOXB6","Macrophage"
"HEXA",1.40894305278115e-18,-0.475816624558097,0.311,0.533,3.50122348616115e-14,"HEXA","Macrophage"
"LASP1",1.41826503333679e-18,-0.452608230721859,0.226,0.431,3.52438860784192e-14,"LASP1","Macrophage"
"RPL4",1.46582583042971e-18,-0.335458084078764,0.682,0.905,3.64257718861783e-14,"RPL4","Macrophage"
"SAP25",1.49816769617483e-18,-1.39694319318435,0.046,0.167,3.72294672499444e-14,"SAP25","Macrophage"
"CPVL",1.52047425946506e-18,-0.381746599464978,0.525,0.762,3.77837853477068e-14,"CPVL","Macrophage"
"ICA1",1.5563103061721e-18,-1.42791060085483,0.035,0.149,3.86743111083768e-14,"ICA1","Macrophage"
"DHRS4-AS1",1.55984615607131e-18,-2.06134703409773,0.029,0.136,3.87621769783722e-14,"DHRS4-AS1","Macrophage"
"U2AF1",1.6301478572913e-18,-1.06758552826045,0.077,0.217,4.05091742536889e-14,"U2AF1","Macrophage"
"LIMA1",1.68619226419828e-18,-0.726010628948637,0.09,0.238,4.19018777653272e-14,"LIMA1","Macrophage"
"SHTN1",1.69261527384396e-18,-0.359209951377843,0.265,0.488,4.20614895550224e-14,"SHTN1","Macrophage"
"SERPINB9",1.72082854766263e-18,2.52171445270475,0.227,0.101,4.27625894094164e-14,"SERPINB9","Macrophage"
"RABL6",1.78531522066111e-18,-0.650986467693683,0.15,0.326,4.43650832334285e-14,"RABL6","Macrophage"
"OAS1",1.79707119040234e-18,-0.625258968457312,0.149,0.329,4.46572190814982e-14,"OAS1","Macrophage"
"MDH2",1.81464322855047e-18,-0.570780707398304,0.239,0.444,4.50938842294792e-14,"MDH2","Macrophage"
"FN1",1.86266894043489e-18,2.33735951439843,0.183,0.066,4.62873231698071e-14,"FN1","Macrophage"
"NR4A1",1.86379911093854e-18,-0.414814281062284,0.524,0.743,4.63154079068228e-14,"NR4A1","Macrophage"
"VMP1",1.89539065965075e-18,1.40678951386025,0.619,0.606,4.71004578923211e-14,"VMP1","Macrophage"
"SERTAD3",1.94275810675702e-18,-0.895712099256245,0.111,0.268,4.82775389529119e-14,"SERTAD3","Macrophage"
"RRAS",1.95769020775824e-18,-0.555902114660481,0.16,0.341,4.86486016627922e-14,"RRAS","Macrophage"
"KLHL24",1.96175194462652e-18,-0.69230270380183,0.131,0.298,4.8749535823969e-14,"KLHL24","Macrophage"
"WDR81",2.09206485349679e-18,-1.26006998784249,0.056,0.182,5.19878116093952e-14,"WDR81","Macrophage"
"CNOT2",2.20695983609596e-18,-0.703442022559748,0.135,0.303,5.48429519269845e-14,"CNOT2","Macrophage"
"PBXIP1",2.2092486939385e-18,-1.18296275984601,0.07,0.204,5.48998300443718e-14,"PBXIP1","Macrophage"
"PUM1",2.21634666539512e-18,-0.534428897066857,0.204,0.402,5.50762146350688e-14,"PUM1","Macrophage"
"GOSR1",2.39631982623268e-18,-1.06916733243809,0.085,0.229,5.95485476818821e-14,"GOSR1","Macrophage"
"TOR1AIP2",2.57943927498767e-18,-0.807936826327183,0.157,0.326,6.40990659834435e-14,"TOR1AIP2","Macrophage"
"PID1",2.63395172212262e-18,-0.397933853940193,0.145,0.326,6.5453700294747e-14,"PID1","Macrophage"
"KDM5A",2.69362914762274e-18,-0.429904624412044,0.182,0.371,6.69366843184252e-14,"KDM5A","Macrophage"
"KIAA1551",2.70352842034043e-18,-0.306870905898754,0.255,0.477,6.71826812454597e-14,"KIAA1551","Macrophage"
"RNF125",2.72011808031934e-18,-0.923989478239577,0.074,0.212,6.75949342959357e-14,"RNF125","Macrophage"
"NBR1",2.7720397094001e-18,-0.591473810192648,0.149,0.327,6.88851867785926e-14,"NBR1","Macrophage"
"PIGT",2.84296630959027e-18,-0.809619086378073,0.141,0.312,7.06477127933182e-14,"PIGT","Macrophage"
"CALHM2",2.92748720682071e-18,-0.860909274480051,0.119,0.277,7.27480570894947e-14,"CALHM2","Macrophage"
"USP8",3.02277046853787e-18,-0.522111074332155,0.245,0.446,7.5115846143166e-14,"USP8","Macrophage"
"CCDC88B",3.16064689541659e-18,-0.805420293987987,0.079,0.219,7.85420753511023e-14,"CCDC88B","Macrophage"
"TLR5",3.18972587169805e-18,-1.35257118748401,0.063,0.195,7.92646879116965e-14,"TLR5","Macrophage"
"SMARCA2",3.36548172205627e-18,-0.418696910614458,0.236,0.444,8.36322207930983e-14,"SMARCA2","Macrophage"
"PDLIM7",3.56724147829395e-18,3.12856941570339,0.135,0.036,8.86459507356047e-14,"PDLIM7","Macrophage"
"ERF",3.60114325283846e-18,-0.9825182466218,0.085,0.225,8.94884098330358e-14,"ERF","Macrophage"
"DCLRE1B",3.63085428172818e-18,-1.45884990623526,0.047,0.167,9.02267289009452e-14,"DCLRE1B","Macrophage"
"ZMYND11",3.75303198923521e-18,-0.919062886649099,0.107,0.256,9.32628449324949e-14,"ZMYND11","Macrophage"
"TRIB1",3.81958891531782e-18,-0.45316688499594,0.191,0.375,9.49167845456479e-14,"TRIB1","Macrophage"
"IMP3",4.06270030476487e-18,-0.590471531261621,0.139,0.307,1.00958102573407e-13,"IMP3","Macrophage"
"DCTN2",4.08611168919231e-18,-0.601471777093888,0.173,0.357,1.01539875476429e-13,"DCTN2","Macrophage"
"TUT4",4.10406383561555e-18,-1.02709545736556,0.09,0.231,1.01985986315046e-13,"TUT4","Macrophage"
"MTA1",4.25904437802047e-18,-0.884502663579155,0.056,0.183,1.05837252793809e-13,"MTA1","Macrophage"
"MXRA7",4.29533294794079e-18,-1.01348153303733,0.029,0.135,1.06739023756329e-13,"MXRA7","Macrophage"
"FABP4",4.41770155346732e-18,-2.58302979546789,0.013,0.103,1.09779883603663e-13,"FABP4","Macrophage"
"ZNF503",4.44733233959885e-18,-0.84302662329961,0.113,0.267,1.10516208639032e-13,"ZNF503","Macrophage"
"RAB22A",4.49078081105972e-18,-0.990679931062624,0.074,0.208,1.11595903154834e-13,"RAB22A","Macrophage"
"CMTM3",4.66690404178147e-18,-0.500772616744075,0.267,0.481,1.1597256543827e-13,"CMTM3","Macrophage"
"SPEN",4.900521420204e-18,-0.300307006256875,0.24,0.444,1.21777957292069e-13,"SPEN","Macrophage"
"PINK1",4.90437475283487e-18,-0.761887312389149,0.121,0.28,1.21873712607946e-13,"PINK1","Macrophage"
"ARL4D",5.10882156854876e-18,-0.891871267123931,0.071,0.207,1.26954215978437e-13,"ARL4D","Macrophage"
