"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","celltype"
"A2M",8.05636117750696e-71,-2.06632728374776,0.081,0.388,2.00200575261048e-66,"A2M","Myeloid"
"C20orf27",1.76138914919496e-70,-1.84749563191397,0.131,0.471,4.37705203574948e-66,"C20orf27","Myeloid"
"TMSB10",1.10603775142971e-69,0.638557682659668,0.998,0.995,2.74850381230282e-65,"TMSB10","Myeloid"
"FILIP1L",2.42402684984033e-68,-2.23149647381701,0.144,0.464,6.02370672185321e-64,"FILIP1L","Myeloid"
"GNAS",6.08114825890953e-68,-0.851718553540802,0.762,0.919,1.51116534233902e-63,"GNAS","Myeloid"
"TXNIP",3.5885453610254e-67,-1.14115848676946,0.62,0.87,8.91753522214813e-63,"TXNIP","Myeloid"
"SERPINB9",3.66972973772356e-66,1.91380900036262,0.716,0.461,9.11927839824304e-62,"SERPINB9","Myeloid"
"PABPC4",6.21757640594787e-66,-1.4453872311926,0.292,0.633,1.54506773687805e-61,"PABPC4","Myeloid"
"JUN",1.47593256399081e-65,-1.23530733609913,0.752,0.925,3.66769242151717e-61,"JUN","Myeloid"
"FOS",9.24011639049309e-65,-1.34889096202447,0.817,0.919,2.29616892303753e-60,"FOS","Myeloid"
"VMP1",1.1328248390813e-64,1.7953504478378,0.782,0.612,2.81506972511704e-60,"VMP1","Myeloid"
"RPS5",2.00620514167653e-64,-0.745553996367854,0.845,0.985,4.98541977706619e-60,"RPS5","Myeloid"
"MXD1",1.59054307095719e-62,1.77125932679151,0.706,0.486,3.95249953132861e-58,"MXD1","Myeloid"
"KLF2",2.9595796144147e-62,-1.3629450295519,0.456,0.787,7.35455534182054e-58,"KLF2","Myeloid"
"TSPAN4",4.70619097903976e-61,-1.88985320348711,0.102,0.396,1.16948845829138e-56,"TSPAN4","Myeloid"
"ARHGAP24",2.7330176350266e-60,-2.16943483099798,0.052,0.306,6.7915488230411e-56,"ARHGAP24","Myeloid"
"SOD2",1.15279849798644e-59,1.28333794385816,0.893,0.765,2.8647042674963e-55,"SOD2","Myeloid"
"RPL6",1.51818419801304e-59,-0.530790860081908,0.94,0.989,3.77268773206239e-55,"RPL6","Myeloid"
"ZFY",1.19887024883827e-58,-8.5417304850406,0,0.164,2.9791925683631e-54,"ZFY","Myeloid"
"CD37",4.32633272994271e-58,-1.19301562532179,0.584,0.854,1.07509368339076e-53,"CD37","Myeloid"
"GK",9.40936736897147e-58,1.92771983538805,0.641,0.388,2.33822779118941e-53,"GK","Myeloid"
"SEMA4A",1.88043016334227e-57,-1.56323550638688,0.192,0.512,4.67286895590555e-53,"SEMA4A","Myeloid"
"F13A1",3.40819233320401e-57,-1.13865332440083,0.224,0.577,8.46935794801196e-53,"F13A1","Myeloid"
"AREG",5.76937444858393e-57,2.73207837203751,0.481,0.161,1.43368955047311e-52,"AREG","Myeloid"
"RPL14",1.42970314876727e-56,-0.574904439277917,0.908,0.996,3.55281232468667e-52,"RPL14","Myeloid"
"CLEC10A",2.06331763069377e-56,-1.41106081415386,0.334,0.654,5.12734431227403e-52,"CLEC10A","Myeloid"
"BCL2A1",2.81730500549827e-56,1.32950874905814,0.879,0.723,7.00100293866321e-52,"BCL2A1","Myeloid"
"RPL3",2.93394264049403e-56,-0.598365212813746,0.928,0.996,7.29084746162767e-52,"RPL3","Myeloid"
"FCGRT",4.29145266671954e-56,-0.955334137513127,0.644,0.844,1.06642598767981e-51,"FCGRT","Myeloid"
"ABCA6",5.34320137465727e-56,-3.81341616986328,0.023,0.22,1.32778554160233e-51,"ABCA6","Myeloid"
"RTN1",5.55171336174598e-56,-1.96712102685363,0.104,0.378,1.37960077039388e-51,"RTN1","Myeloid"
"RPL4",3.02471732083121e-55,-0.691164328669896,0.805,0.974,7.51642254226556e-51,"RPL4","Myeloid"
"KLF6",3.09634713591563e-55,-1.00128361487388,0.875,0.97,7.69442263275034e-51,"KLF6","Myeloid"
"FTH1",3.55367183040242e-55,0.767160215489845,0.999,1,8.83087449855001e-51,"FTH1","Myeloid"
"RPS7",9.87646865231346e-55,-0.557885443797615,0.929,0.991,2.4543024600999e-50,"RPS7","Myeloid"
"SELENOP",1.15639459993512e-54,-3.07353550336481,0.072,0.316,2.87364058083878e-50,"SELENOP","Myeloid"
"AHNAK",1.56560606581609e-54,-0.976019457108829,0.63,0.844,3.89053107355299e-50,"AHNAK","Myeloid"
"PEBP1",3.56186224563368e-54,-1.14565785444164,0.339,0.68,8.8512276803997e-50,"PEBP1","Myeloid"
"SLC40A1",7.04505699616135e-54,-2.83838812202683,0.037,0.25,1.7506966635461e-49,"SLC40A1","Myeloid"
"IGHA1",1.0978629029706e-53,-6.31915787531313,0.003,0.161,2.72818931388194e-49,"IGHA1","Myeloid"
"GFRA2",1.47601831778945e-53,-2.53790476772899,0.039,0.253,3.66790551970678e-49,"GFRA2","Myeloid"
"EGR2",2.10974576603764e-53,-2.73285530752882,0.048,0.271,5.24271822860353e-49,"EGR2","Myeloid"
"RACK1",4.15097383562561e-53,-0.519260563143211,0.906,0.993,1.03151699815297e-48,"RACK1","Myeloid"
"NPM1",5.92026417615415e-53,-0.68550437807457,0.683,0.931,1.47118564777431e-48,"NPM1","Myeloid"
"C1QA",7.8976054841706e-53,-1.91615329259716,0.173,0.461,1.96255496281639e-48,"C1QA","Myeloid"
"EIF3D",1.96342093432952e-52,-1.07984326825217,0.347,0.675,4.87910102180885e-48,"EIF3D","Myeloid"
"RPL10",3.44983918326559e-52,-0.470751068518211,0.987,0.999,8.57285037041498e-48,"RPL10","Myeloid"
"BTG2",6.53360985026408e-52,-0.959354731469369,0.387,0.708,1.62360204779062e-47,"BTG2","Myeloid"
"IGLC2",3.3043620021217e-51,-5.04671402350926,0.004,0.157,8.21133957527242e-47,"IGLC2","Myeloid"
"GABPB1-AS1",3.70905303027586e-51,-1.82304429523969,0.106,0.368,9.2169967802355e-47,"GABPB1-AS1","Myeloid"
"S100A12",4.58409413977019e-51,3.59574851591132,0.325,0.052,1.13914739373289e-46,"S100A12","Myeloid"
"FRMD4B",5.26118257707628e-51,-1.20953667784991,0.21,0.531,1.30740387040346e-46,"FRMD4B","Myeloid"
"RPS3",2.52140003607471e-50,-0.542601122726416,0.942,0.998,6.26567908964566e-46,"RPS3","Myeloid"
"TMEM14C",3.55289582149429e-50,-0.996213811117692,0.345,0.685,8.82894611641331e-46,"TMEM14C","Myeloid"
"JUNB",1.039666466604e-49,-0.836874178446979,0.904,0.965,2.58357116951095e-45,"JUNB","Myeloid"
"RPS3A",1.93801400658641e-49,-0.498621326030031,0.968,0.998,4.81596480636724e-45,"RPS3A","Myeloid"
"FOSB",1.42141173096997e-48,-1.07255869158269,0.762,0.868,3.53220815146038e-44,"FOSB","Myeloid"
"APEX1",3.88171146782949e-48,-1.11472241851782,0.317,0.632,9.64605299755629e-44,"APEX1","Myeloid"
"HACD4",7.95351154039262e-48,-1.40390207161496,0.135,0.408,1.97644761778757e-43,"HACD4","Myeloid"
"EPS8",8.42430532417665e-48,-1.36178776956515,0.106,0.368,2.0934398730579e-43,"EPS8","Myeloid"
"RPL19",4.3227354326749e-47,-0.524723715489449,0.964,0.998,1.07419975501971e-42,"RPL19","Myeloid"
"CPVL",5.66636677726317e-47,-1.41212440820794,0.454,0.715,1.4080921441499e-42,"CPVL","Myeloid"
"SLC25A3",7.66896547906429e-47,-0.793191030634694,0.576,0.851,1.90573792154748e-42,"SLC25A3","Myeloid"
"CXCL14",9.28167125416964e-47,-2.07110383827533,0.051,0.261,2.30649530666115e-42,"CXCL14","Myeloid"
"GATM",1.97305546295689e-46,-1.76818455768777,0.078,0.31,4.90304282544787e-42,"GATM","Myeloid"
"CD44",1.0657321329446e-45,0.988988946238248,0.922,0.898,2.64834435036733e-41,"CD44","Myeloid"
"HNRNPA0",1.4326934630597e-45,-0.864925430987047,0.314,0.648,3.56024325570335e-41,"HNRNPA0","Myeloid"
"PDGFB",2.2367829355273e-45,-2.065735502245,0.053,0.26,5.55840559478535e-41,"PDGFB","Myeloid"
"HLA-DPA1",2.3076549942604e-45,-0.725613772616406,0.937,0.99,5.73452266073708e-41,"HLA-DPA1","Myeloid"
"SLC25A5",2.79914000727573e-45,-0.75244069254313,0.62,0.873,6.95586291808018e-41,"SLC25A5","Myeloid"
"LYZ",3.58442112397362e-45,0.865194883137323,0.94,0.848,8.90728649307444e-41,"LYZ","Myeloid"
"IGKC",3.70224846905753e-45,-2.43821942170014,0.086,0.318,9.20008744560796e-41,"IGKC","Myeloid"
"EIF3F",5.69825742251096e-45,-0.79272932745805,0.55,0.829,1.41601696949397e-40,"EIF3F","Myeloid"
