"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","celltype"
"BCL7A",0.00140118718611034,-0.313688882191653,0.153,0.114,1,"BCL7A","Keratinocyte"
"S100A8",0.00141422021584139,0.786605386070086,0.734,0.745,1,"S100A8","Keratinocyte"
"ACYP1",0.00142620661077916,-0.294098989968383,0.296,0.231,1,"ACYP1","Keratinocyte"
"OXA1L",0.00143392990491662,-0.450969041441773,0.453,0.423,1,"OXA1L","Keratinocyte"
"CAMTA1",0.00145015288494975,-0.389768009169077,0.559,0.509,1,"CAMTA1","Keratinocyte"
"CHMP1B",0.00146120395578515,-0.384703310851184,0.545,0.499,1,"CHMP1B","Keratinocyte"
"GRPEL1",0.00148368559100039,-0.264465036268684,0.427,0.329,1,"GRPEL1","Keratinocyte"
"RASSF7",0.00149735200228165,-0.28397818362315,0.208,0.159,1,"RASSF7","Keratinocyte"
"TAF7",0.00159272417687971,-0.459957418321589,0.451,0.427,1,"TAF7","Keratinocyte"
"TMEM91",0.00159885897969121,-0.946110062336713,0.135,0.155,1,"TMEM91","Keratinocyte"
"ADAM17",0.00170584909868976,-0.353264050808725,0.333,0.258,1,"ADAM17","Keratinocyte"
"GSTK1",0.0017103088229705,-0.274618048914605,0.598,0.558,1,"GSTK1","Keratinocyte"
"TSTD1",0.00171579277057853,-0.283383566535473,0.44,0.451,1,"TSTD1","Keratinocyte"
"SLC2A8",0.00172466657322778,-0.336099543702224,0.134,0.099,1,"SLC2A8","Keratinocyte"
"COMMD3",0.00173413918738166,-0.482172385941762,0.424,0.406,1,"COMMD3","Keratinocyte"
"EPHA4",0.0017637227284987,-0.916539851925629,0.085,0.108,1,"EPHA4","Keratinocyte"
"ATG10",0.00177190378788312,-0.283595754883411,0.125,0.093,1,"ATG10","Keratinocyte"
"MRPL50",0.00177934993982845,-0.321974284109341,0.362,0.28,1,"MRPL50","Keratinocyte"
"SLC9A3",0.0018639042527159,-0.315426779041424,0.111,0.081,1,"SLC9A3","Keratinocyte"
"LRRC8B",0.00187832557376337,-0.320243418966635,0.135,0.101,1,"LRRC8B","Keratinocyte"
"PRSS8",0.00196579294635268,-0.647909527792574,0.31,0.316,1,"PRSS8","Keratinocyte"
"GPD2",0.00197639568238043,-0.503652200152508,0.129,0.096,1,"GPD2","Keratinocyte"
"C18orf21",0.00197642794437608,-0.366298652650931,0.19,0.144,1,"C18orf21","Keratinocyte"
"AK4",0.00202219577593864,-0.86647044654737,0.211,0.222,1,"AK4","Keratinocyte"
"SNHG19",0.00205416232484508,-0.346023088960332,0.315,0.324,1,"SNHG19","Keratinocyte"
"FNBP1",0.00219443758857259,-0.403521670520756,0.237,0.185,1,"FNBP1","Keratinocyte"
"B4GALT3",0.00221680377689175,-0.475496098991535,0.184,0.142,1,"B4GALT3","Keratinocyte"
"AC091271.1",0.00226141617157932,-0.328767464667934,0.102,0.074,1,"AC091271.1","Keratinocyte"
"CYB5R1",0.00230206105784105,-0.536790299547849,0.45,0.428,1,"CYB5R1","Keratinocyte"
"HINT3",0.00234884325045019,-0.344093586232388,0.151,0.114,1,"HINT3","Keratinocyte"
"TGFBR3",0.00252293942041437,-0.691890594755329,0.083,0.104,1,"TGFBR3","Keratinocyte"
"SERPINB2",0.00255172565523116,0.434520742158701,0.235,0.195,1,"SERPINB2","Keratinocyte"
"MED26",0.00258146113862138,-0.266453061621965,0.134,0.101,1,"MED26","Keratinocyte"
"TMBIM1",0.00261847480233497,-0.420856061835818,0.574,0.525,1,"TMBIM1","Keratinocyte"
"CSTA",0.00268794994348873,0.916744112407325,0.612,0.677,1,"CSTA","Keratinocyte"
"BNIPL",0.00274118345535386,-0.506015769052995,0.218,0.238,1,"BNIPL","Keratinocyte"
"PIK3CB",0.00280617374449643,-0.506682904974876,0.108,0.079,1,"PIK3CB","Keratinocyte"
"IFRD1",0.00290721806530019,-0.476932367499703,0.478,0.448,1,"IFRD1","Keratinocyte"
"PIAS1",0.00294955657739606,-0.310110631170982,0.26,0.204,1,"PIAS1","Keratinocyte"
"BPHL",0.00296233842443521,-0.375403174447757,0.126,0.094,1,"BPHL","Keratinocyte"
"ABCC5",0.00300793085283998,-0.350350605445726,0.154,0.117,1,"ABCC5","Keratinocyte"
"RPP25L",0.00305220403817528,-0.87742859852327,0.2,0.213,1,"RPP25L","Keratinocyte"
"ESPN",0.00310407906325793,-0.296847485568633,0.102,0.075,1,"ESPN","Keratinocyte"
"ZNF44",0.00323833877176703,-0.258255121494493,0.116,0.087,1,"ZNF44","Keratinocyte"
"UBAC1",0.00325609917293644,-0.291372279657475,0.397,0.305,1,"UBAC1","Keratinocyte"
"STK16",0.00325624850717677,-0.383010313619092,0.2,0.155,1,"STK16","Keratinocyte"
"TM2D3",0.00329802017249195,-0.756706322578214,0.236,0.243,1,"TM2D3","Keratinocyte"
"OSTF1",0.00340857921289426,-0.470098082810735,0.43,0.401,1,"OSTF1","Keratinocyte"
"CAMLG",0.0035849855853985,-0.288327767287836,0.514,0.472,1,"CAMLG","Keratinocyte"
"SLC25A23",0.0036797096954585,-0.432051209120286,0.131,0.099,1,"SLC25A23","Keratinocyte"
"TSPYL1",0.00368453320761415,-0.561184441301509,0.394,0.375,1,"TSPYL1","Keratinocyte"
"ORC4",0.00373569531969462,-0.302265100628663,0.186,0.143,1,"ORC4","Keratinocyte"
"PYURF",0.00375668515962959,-0.307815121477608,0.562,0.521,1,"PYURF","Keratinocyte"
"PPFIA3",0.0037609262454546,-0.272787964895963,0.178,0.138,1,"PPFIA3","Keratinocyte"
"TKFC",0.00379696944307231,-0.58450069026197,0.155,0.117,1,"TKFC","Keratinocyte"
"TAX1BP3",0.00381342591521787,-0.267934661050571,0.601,0.558,1,"TAX1BP3","Keratinocyte"
"F2RL1",0.00390424885582857,-0.719243156117347,0.251,0.264,1,"F2RL1","Keratinocyte"
"SLC47A2",0.00394898584792118,-0.806768492810486,0.087,0.107,1,"SLC47A2","Keratinocyte"
"C2orf54",0.00421562170866535,-0.673865087791232,0.107,0.129,1,"C2orf54","Keratinocyte"
"ZNF750",0.00434819322814445,-0.31916724583296,0.325,0.342,1,"ZNF750","Keratinocyte"
"ASPN",0.00440196134075741,0.309762409381002,0.122,0.144,1,"ASPN","Keratinocyte"
"GTF2H5",0.00440198847967403,-0.338647010543054,0.551,0.504,1,"GTF2H5","Keratinocyte"
"ARL6IP6",0.00460127064934187,-0.771449452250341,0.254,0.258,1,"ARL6IP6","Keratinocyte"
"RNF170",0.004850724454136,-0.356260271281593,0.135,0.103,1,"RNF170","Keratinocyte"
"EAPP",0.0049285117817616,-0.400117347516947,0.429,0.404,1,"EAPP","Keratinocyte"
"CD164",0.00513988387204571,-0.358882167138233,0.576,0.531,1,"CD164","Keratinocyte"
"CHCHD6",0.00519888576730991,-0.499935045630582,0.162,0.126,1,"CHCHD6","Keratinocyte"
"ZNF652",0.00532202758045667,-0.531398096791556,0.199,0.156,1,"ZNF652","Keratinocyte"
"SIRT2",0.00538382560657493,-0.299981752123453,0.348,0.271,1,"SIRT2","Keratinocyte"
"RNF13",0.00557611753661347,-0.464247581483815,0.355,0.339,1,"RNF13","Keratinocyte"
"CHURC1",0.00587952002389828,-0.296456294418083,0.568,0.52,1,"CHURC1","Keratinocyte"
"APCDD1",0.00602137226174614,-0.577935321134825,0.376,0.37,1,"APCDD1","Keratinocyte"
"ENOPH1",0.00611485296475445,-0.402902090242853,0.307,0.239,1,"ENOPH1","Keratinocyte"
"VANGL2",0.00646566944034207,-0.557708688621111,0.122,0.093,1,"VANGL2","Keratinocyte"
"TAP1",0.00647853643850083,-0.290445369730814,0.363,0.283,1,"TAP1","Keratinocyte"
"FTH1",0.00669600096264519,0.999169877015636,0.913,0.88,1,"FTH1","Keratinocyte"
"B3GALT4",0.00670373520979236,-0.284633736095814,0.105,0.079,1,"B3GALT4","Keratinocyte"
"GAS6",0.00680146102136345,0.329431502244637,0.495,0.428,1,"GAS6","Keratinocyte"
"ANKRD37",0.00682833626811529,-1.10263389266986,0.188,0.201,1,"ANKRD37","Keratinocyte"
"NT5C3A",0.00683455565753152,-0.489237103031229,0.266,0.209,1,"NT5C3A","Keratinocyte"
"ZC3H12A",0.00684220111648358,-0.300228269869525,0.574,0.549,1,"ZC3H12A","Keratinocyte"
"ANG",0.00686566332062809,-0.694189560440554,0.103,0.121,1,"ANG","Keratinocyte"
"ZNF830",0.00688589891303646,-0.377942455336634,0.172,0.133,1,"ZNF830","Keratinocyte"
"ELF3",0.00696032910016291,0.264843022360309,0.211,0.178,1,"ELF3","Keratinocyte"
"ATG4D",0.00730917144339644,-0.348591830240796,0.227,0.178,1,"ATG4D","Keratinocyte"
"ZNF462",0.00781944107126733,-0.316619909441883,0.137,0.106,1,"ZNF462","Keratinocyte"
"HECA",0.00794327070065388,-0.399231470757353,0.271,0.215,1,"HECA","Keratinocyte"
"ARF5",0.00819570632478447,-0.27504458134775,0.585,0.537,1,"ARF5","Keratinocyte"
"IFITM1",0.00820947944373691,-0.684858681641768,0.364,0.351,1,"IFITM1","Keratinocyte"
"RCHY1",0.00821062568001409,-0.64833355803353,0.149,0.165,1,"RCHY1","Keratinocyte"
"THUMPD1",0.00830696118198257,-0.283998109068301,0.313,0.248,1,"THUMPD1","Keratinocyte"
"RAB11B",0.00859481162610495,-0.309203938612373,0.425,0.338,1,"RAB11B","Keratinocyte"
"PLCH2",0.00864644842222079,-0.438926536881951,0.106,0.08,1,"PLCH2","Keratinocyte"
"SDCBP2",0.00882124082175798,-0.340875488558783,0.182,0.146,1,"SDCBP2","Keratinocyte"
"RHBDL2",0.0088613089169858,-1.04572599113725,0.135,0.15,1,"RHBDL2","Keratinocyte"
"CEBPA",0.00889375870337247,-0.719145342522977,0.319,0.311,1,"CEBPA","Keratinocyte"
"SPAG16",0.00925799617048373,-0.685478182853224,0.181,0.193,1,"SPAG16","Keratinocyte"
"AASDH",0.0093582296815425,-0.697027601715222,0.146,0.161,1,"AASDH","Keratinocyte"
"SPRY1",0.010203470407248,-0.319257987832547,0.246,0.257,1,"SPRY1","Keratinocyte"
"SPATS2",0.0102055850094591,-0.599753935740538,0.281,0.28,1,"SPATS2","Keratinocyte"
"HAUS4",0.0105289487803352,-1.07269758620189,0.112,0.128,1,"HAUS4","Keratinocyte"
"WTAP",0.0109343285913983,-0.383153507636686,0.525,0.483,1,"WTAP","Keratinocyte"
"DUSP11",0.0109622902332062,-0.264862125511976,0.281,0.22,1,"DUSP11","Keratinocyte"
"AC008556.1",0.0109836726169341,-1.03597814626077,0.099,0.115,1,"AC008556.1","Keratinocyte"
"PRRG2",0.0112307193274109,-0.336444680274547,0.14,0.109,1,"PRRG2","Keratinocyte"
"PEX11B",0.0112548756275299,-0.267987492371806,0.119,0.092,1,"PEX11B","Keratinocyte"
"NVL",0.0114209701373283,-0.504580368373416,0.117,0.09,1,"NVL","Keratinocyte"
"SYK",0.0116222150584524,-0.892686918565318,0.101,0.077,1,"SYK","Keratinocyte"
"TMEM183A",0.0118480676512553,-0.267445503565089,0.376,0.297,1,"TMEM183A","Keratinocyte"
"CDKN2AIP",0.0119061565446343,-0.325371808532692,0.264,0.209,1,"CDKN2AIP","Keratinocyte"
"PIGA",0.0121409280406883,-0.434973098865582,0.131,0.102,1,"PIGA","Keratinocyte"
"TFAP2B",0.012255134644925,-0.619289504993966,0.09,0.107,1,"TFAP2B","Keratinocyte"
"SKAP2",0.0124071041257673,-0.651854983077063,0.145,0.161,1,"SKAP2","Keratinocyte"
"LYPD6B",0.0125391556148638,-1.00092528787752,0.086,0.102,1,"LYPD6B","Keratinocyte"
"UBL3",0.012546557570289,-0.506506693440003,0.24,0.192,1,"UBL3","Keratinocyte"
"ISG20",0.0130888035132266,-0.680377810562578,0.109,0.084,1,"ISG20","Keratinocyte"
"HIBADH",0.0131494568190729,-0.388315705871511,0.127,0.099,1,"HIBADH","Keratinocyte"
"PAQR7",0.0132321343682741,-1.17780952781365,0.124,0.137,1,"PAQR7","Keratinocyte"
"ETFDH",0.0132947736892878,-0.431639370209735,0.209,0.166,1,"ETFDH","Keratinocyte"
"MIR22HG",0.0134359603565433,-0.621502401622701,0.327,0.319,1,"MIR22HG","Keratinocyte"
"PIAS3",0.0135175040762245,-0.53069676327612,0.116,0.091,1,"PIAS3","Keratinocyte"
"PRKD2",0.0136754352488115,-0.49228854401311,0.223,0.178,1,"PRKD2","Keratinocyte"
"PGAP2",0.013793651774951,-0.820495713498451,0.221,0.224,1,"PGAP2","Keratinocyte"
"RAB40B",0.0139278295469704,-0.454465461897954,0.201,0.161,1,"RAB40B","Keratinocyte"
"STX17",0.0139707700731243,-0.272707027180185,0.165,0.13,1,"STX17","Keratinocyte"
"SMCO4",0.0141522458272677,-0.257255238915273,0.1,0.078,1,"SMCO4","Keratinocyte"
"CHMP4C",0.0141763118576614,-0.434656533351147,0.146,0.116,1,"CHMP4C","Keratinocyte"
"COX11",0.0145292618495048,-0.426975547305278,0.251,0.199,1,"COX11","Keratinocyte"
"C11orf49",0.0145506809433053,-0.311521701584736,0.157,0.124,1,"C11orf49","Keratinocyte"
"PIGBOS1",0.014594055767266,-0.281896410356474,0.146,0.116,1,"PIGBOS1","Keratinocyte"
"NUTM2A-AS1",0.0147197675815246,-0.275116176766133,0.179,0.141,1,"NUTM2A-AS1","Keratinocyte"
"COA5",0.0148368582311439,-0.367095691347214,0.232,0.185,1,"COA5","Keratinocyte"
"ZFYVE21",0.0148611082138148,-0.598662878390324,0.385,0.361,1,"ZFYVE21","Keratinocyte"
"MED19",0.0151381627697178,-0.268401504065346,0.337,0.269,1,"MED19","Keratinocyte"
"RBM7",0.0153969489540003,-0.757833614371188,0.246,0.245,1,"RBM7","Keratinocyte"
"FGGY",0.0155267215013164,-1.02650524141669,0.102,0.116,1,"FGGY","Keratinocyte"
"YTHDF2",0.0156510418424617,-0.345463306044206,0.552,0.503,1,"YTHDF2","Keratinocyte"
"TMEM42",0.0157294162806186,-1.02614156662088,0.105,0.119,1,"TMEM42","Keratinocyte"
"WNT2B",0.0160832376880784,-0.709809578583044,0.088,0.104,1,"WNT2B","Keratinocyte"
"BCAT2",0.0161023944218372,-0.429707992679956,0.16,0.126,1,"BCAT2","Keratinocyte"
"PNKD",0.0164391743407245,-0.276771874230028,0.417,0.343,1,"PNKD","Keratinocyte"
"ACTR1B",0.0169390998555918,-0.379260948134249,0.215,0.172,1,"ACTR1B","Keratinocyte"
"ABHD13",0.0170512716785164,-0.445655386581888,0.146,0.115,1,"ABHD13","Keratinocyte"
"SMARCD3",0.0172870841970618,-0.489106681167828,0.122,0.139,1,"SMARCD3","Keratinocyte"
"ZCCHC10",0.0176588441227429,-0.276104341204688,0.266,0.214,1,"ZCCHC10","Keratinocyte"
"AFTPH",0.0178125535206411,-0.260752775947946,0.301,0.244,1,"AFTPH","Keratinocyte"
"HSF2",0.017899782034575,-0.589641078957741,0.123,0.096,1,"HSF2","Keratinocyte"
