"ligand","receptor","pathway","sender","receiver","score_healing","score_nonhealing","delta"
"IL6","IL6R","IL6","Endothelial","Myeloid",0.0581728862223488,0.0304212568821748,0.027751629340174
"TNF","TNFRSF1A","TNF","Keratinocyte","Pericyte",0.0515418854552111,0.0239562176564553,0.0275856677987558
"IL6","IL6R","IL6","Myeloid","Keratinocyte",0.0274014767100494,0,0.0274014767100494
"FGF2","FGFR1","FGF","Smooth_Muscle","Macrophage",0,0.0272154207652694,-0.0272154207652694
"TNF","TNFRSF1A","TNF","Keratinocyte","Smooth_Muscle",0.0400955035633471,0.0130525879648869,0.0270429155984602
"TNF","TNFRSF1A","TNF","Macrophage","Endothelial",0.191713347320568,0.164812517209083,0.0269008301114844
"HGF","MET","HGF","Lymphatic_Endo","Endothelial",0,0.0268816525740766,-0.0268816525740766
"TNF","TNFRSF1A","TNF","Keratinocyte","Melanocyte",0.0266057291184964,0,0.0266057291184964
"TGFB1","TGFBR1","TGFb","Pericyte","Macrophage",0.0393950012681711,0.0657610408961147,-0.0263660396279436
"TNF","TNFRSF1A","TNF","Myeloid","Myeloid",0.189548641329179,0.163204930797828,0.0263437105313515
"FGF2","FGFR1","FGF","Endothelial","Keratinocyte",0.0261111507136826,0,0.0261111507136826
"TGFB1","TGFBR1","TGFb","Keratinocyte","Pericyte",0.0260546129434513,0,0.0260546129434513
"TGFB1","TGFBR1","TGFb","Macrophage","Melanocyte",0.0968959892679257,0.122879761113579,-0.0259837718456533
"VEGFA","KDR","VEGF","Myeloid","Keratinocyte",0.0255103721060702,0,0.0255103721060702
"TGFB1","TGFBR1","TGFb","Mast_cell","Melanocyte",0.076846567508268,0.0514723841041386,0.0253741834041294
"IL1B","IL1R1","IL1","Fibroblast","Fibroblast",0.0252719690077117,0,0.0252719690077117
"IL1B","IL1R1","IL1","Myeloid","T_cell",0.157548705515023,0.132345168433679,0.0252035370813436
"TGFB1","TGFBR1","TGFb","Myeloid","Lymphatic_Endo",0.0176899516432182,0.0425551641377885,-0.0248652124945703
"VEGFA","KDR","VEGF","Endothelial","Endothelial",0.0414286660093911,0.0166479306519684,0.0247807353574227
"IL1B","IL1R1","IL1","Macrophage","T_cell",0.0491705470192574,0.0245244325825487,0.0246461144367087
"IL1B","IL1R1","IL1","Mast_cell","Endothelial",0.0243316903837372,0,0.0243316903837372
