TF,diff_AS_vs_Control,pvalue,padj
RORA,0.11213856937013503,0.032452518623217005,0.04223272971514542
IRF1,-0.12575759095389122,0.03307925733703631,0.04297476166862837
TBX2,0.15227428633312456,0.033527873583977824,0.04348324901676305
RORC,-0.0596432980436124,0.03445997693722514,0.04461598376880938
VENTX,0.007354899542837542,0.035750388618342094,0.04620798528901359
TCF7,-0.10329148260091348,0.036734878568721235,0.04739984331447901
NFIL3,-0.09087983329036131,0.036918191370638606,0.04755563634183956
LMO2,-0.04821974942682916,0.037431486036135934,0.048135244310428614
MTF1,0.19398280925013522,0.0393945928021226,0.05057413940813036
GATA1,-0.11430774612155736,0.0403974693520211,0.05168699782413474
HIF3A,0.06344063029811468,0.04035342013965326,0.05168699782413474
NR4A3,-0.07503290022748954,0.042193171914591765,0.05389379942031889
FOSB,-0.14662588919255448,0.04286058088807148,0.05465443200492336
MAX,0.16328036134602275,0.0431626489333045,0.05494742577774107
ID4,0.13951567786396923,0.044317432787474166,0.05632315872655579
IRF8,0.10761262749934548,0.04479621028591334,0.05683659401885499
ELF1,0.1036983569420521,0.0462587930960008,0.05859447125493434
TFDP1,0.1020706513296141,0.047256021571924364,0.0597580306067596
SMAD2,-0.14788816400816884,0.04776137765682453,0.06029675584582499
PEG3,-0.04817625786257784,0.04959222282209383,0.06250429410413152
LITAF,0.1356646085883525,0.05126572175711435,0.06450653731027634
SPDEF,0.09892099279945538,0.05379429523566997,0.06757630475885815
PRRX1,0.3010013674063966,0.057722256427879454,0.07227168844347345
ZNF263,0.15280874264189526,0.05763310610244677,0.07227168844347345
BCL6,0.0915476252556496,0.05834952359951188,0.07293690449938985
KAT2B,0.13303987384011345,0.060419645157287816,0.07540054239661534
PROP1,0.16262711486211984,0.06154000961093621,0.07667279885952707
HIPK2,-0.14932806837647306,0.06283687299598922,0.07816043122250706
TBR1,0.12175339594559814,0.06642825514240258,0.08249260442520583
SNAI2,-0.10154015909385905,0.06760581713447393,0.08381797882903783
NKX2-1,0.11302922766202905,0.06945627171226175,0.08597193241257155
SOX17,-0.11088382076466896,0.06976868756077442,0.08621821552225782
SMARCA1,0.09509506939465462,0.07004735810821061,0.08642206519844167
FOXE1,0.027177195766444118,0.07152540264581021,0.08810260293487157
BATF,0.0682210894470194,0.07324578971719051,0.09007572845479739
RFXAP,0.07873948548896931,0.07518455484789077,0.09231060045944585
CTCF,-0.06333086856764436,0.07891818115791557,0.09673841561292877
SMAD4,0.16688433624156174,0.08058617807662484,0.09862398605190802
ZNF436,-0.07407572961174948,0.08650578048064737,0.10569838129468168
TFAM,0.08509553526478575,0.08746297623131076,0.106696407601599
RBPJ,0.0814021544930481,0.08826013269467765,0.10747802448578746
ETV3,-0.08899507961164185,0.0883865332942331,0.10747802448578746
HOXD4,-0.000314845205115398,0.08897833347132278,0.10802481379905002
POU2AF1,-0.09587432445001276,0.09525248255681645,0.11545755461432299
LYL1,-0.09233203907268762,0.09870396333540774,0.11945065626578005
TBPL1,-0.0988563700917987,0.10065377412434987,0.12161664282115406
CEBPD,0.0860876543307334,0.10320563954717717,0.12450204135849943
TBXT,0.10314108171082026,0.10806692069766564,0.13015984109386036
YBX3,-0.1441130847560892,0.10876173278141164,0.13078942549663425
ARID1B,0.30746235343161726,0.10976044617829236,0.13178189430569068
GABPA,0.07556321166741031,0.1146036680047482,0.13737979129906722
LHX4,0.15698033696519115,0.11881125860391016,0.14219930163617595
NKX3-1,0.10204931426071785,0.12074375512341277,0.14405848334975466
EGR3,0.07745281503568494,0.12058178000483497,0.14405848334975466
KDM5B,-0.07631865994308566,0.12713833870830502,0.15145005864939157
LMO4,0.209533112212355,0.12826701506400376,0.15255544827643638
EBF1,-0.06953750364171174,0.1344382257757142,0.15964539310866063
FLI1,-0.12993241009831424,0.13674377757650671,0.162129907891022
OLIG2,-0.05536425344505611,0.13847785038231097,0.16393016556161424
STAT4,0.12244556859166417,0.13932102946221472,0.16467182331459282
GATA6,-0.09939378795542342,0.14089741251072754,0.16627644954682133
KLF2,0.13033592844096586,0.14291791031591133,0.16839939820169397
MAF,0.07038081198393464,0.14384363697351452,0.16922780820413472
TFAP2C,0.10824320656782038,0.14658563197963162,0.17218714111981456
NR3C2,0.07176957907039516,0.1584868699168417,0.18587966224814767
TBX6,0.12530186931224857,0.16718793453962477,0.1957824811249843
GSC,0.06359077546268337,0.16955840464465133,0.1982529038922077
EPAS1,0.022611281581810472,0.18468606317887293,0.21560892168347684
HSF2,0.135846091352124,0.191499592070138,0.2232203833946394
EGR2,0.0950126512728926,0.19319290077027285,0.22484931789495768
PAX7,0.054349525674839194,0.19575344751078572,0.2274810705018305
MKX,0.16524863408349766,0.19881151187378343,0.2306046057835344
E2F7,-0.0666686776370458,0.19904818604473495,0.2306046057835344
POU2F2,-0.059564641729644596,0.2042267914093494,0.23624408138676645
TP53,0.07578905451907758,0.21098106024084984,0.24368633097727335
HOXA2,-0.08415496373384967,0.23754412950663661,0.2739507411609163
MXI1,0.0390653627038024,0.23871126196029047,0.2747741182715527
CTNNB1,0.064309667431667,0.2389811739177583,0.2747741182715527
VDR,0.07893951627615903,0.24469911749926654,0.28092345815625763
ISL1,0.020133216666222364,0.2481016902092299,0.28440012753999205
FOXA1,-0.0881441026190842,0.24967608345611925,0.2857738304618232
PDX1,0.05202768286456361,0.25247142595391603,0.2885387725187612
TGIF1,0.004632659705935183,0.2548174822588477,0.290782712487574
