"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene"
2.06273942943144,1.49393631607021,12.1825842148586,3.86695819662857e-11,6.49704035823411e-09,15.6902396844731,"SKA1"
-2.13944259147619,2.22999961735625,-12.1805396315775,3.87927544641375e-11,6.49704035823411e-09,15.687096421984,"INMT"
-2.62043388445137,2.33840255166567,-12.1595998137194,4.00779813949129e-11,6.64836457082470e-09,15.6548790529048,"PNPLA7"
3.53171950395608,2.92205780887369,12.1484031574251,4.07832945734032e-11,6.70154174414658e-09,15.6376332745054,"CD300E"
2.04667483089134,7.12795605293396,12.1380461589168,4.14472106145771e-11,6.71568095142863e-09,15.6216690218387,"LAMB1"
-3.74022646883102,2.40526348855637,-12.1350638859228,4.16404606013487e-11,6.71568095142863e-09,15.6170700549196,"TSPAN8"
1.20966997761142,8.12072996902011,12.1009684889251,4.39176161294396e-11,6.89917832655092e-09,15.5644247195218,"FKBP1A"
-2.81294824652292,5.30004827121013,-12.0949067616799,4.43358386615147e-11,6.89917832655092e-09,15.555052173949,"FXYD1"
-1.33709799374786,3.91848511548382,-12.0924985555506,4.45031379486215e-11,6.89917832655092e-09,15.5513275639232,"SSH3"
7.67864718825989,4.39714993184717,12.0871334980017,4.48782159278626e-11,6.89917832655092e-09,15.5430275815561,"MMP1"
2.52962459547428,3.36965143119422,12.0862727338471,4.49386983907732e-11,6.89917832655092e-09,15.5416956571576,"S1PR3"
3.10799042286539,2.33409093313871,12.0821136909231,4.52321343021985e-11,6.89917832655092e-09,15.5352589538896,"ARSI"
-3.22525761015237,2.024034993778,-12.076199897342,4.56528095415073e-11,6.89917832655092e-09,15.5261033684155,"ANGPTL5"
3.81467367296589,4.36794601571003,12.0720979115659,4.59469908072056e-11,6.89917832655092e-09,15.5197505981973,"UBE2C"
-1.88870630253082,1.93537414405977,-12.0593305696991,4.68753051883572e-11,6.9784108185539e-09,15.4999663040706,"NOXA1"
1.68132317047088,10.9398808147424,12.03681238318,4.8560442167226e-11,7.12403493038644e-09,15.4650298511041,"GAPDH"
3.45486878637081,9.9701222118959,12.0353570173426,4.86714982613381e-11,7.12403493038644e-09,15.4627700276117,"TIMP1"
2.02124794670843,1.77262167198592,12.0296964960476,4.91059589187663e-11,7.12772993705893e-09,15.4539784916209,"GINS2"
