gene,score,evidence,n_evidence_types
TCF23,6.149399167372158,DEG_in_2ct(maxLFC=2.15),1
RPL36AL,6.132877556704868,DEG_in_1ct(maxLFC=1.13); stem_DEG_CD133plus_progenitor,2
CPE,6.009625871540503,DEG_in_2ct(maxLFC=2.01),1
NRXN3,6,comm_ligand; comm_receptor,2
NCOR2,6,TF_diff_3ct,1
VDR,6,TF_diff_3ct,1
NLGN2,6,comm_ligand; comm_receptor,2
POU3F2,6,TF_diff_3ct,1
MYOD1,6,TF_diff_3ct,1
HOXB13,6,TF_diff_3ct,1
RBPJ,6,TF_diff_3ct,1
REPS2,5.952446159496294,DEG_in_2ct(maxLFC=1.95),1
ITGA9,5.9262378569847565,DEG_in_2ct(maxLFC=1.93),1
FRMD6,5.902971413493269,DEG_in_2ct(maxLFC=1.90),1
LAMB1,5.850428814280198,DEG_in_1ct(maxLFC=0.85); comm_ligand,2
CDK2AP2,5.7464565979224504,DEG_in_2ct(maxLFC=1.75),1
CACNA1H,5.740367711451202,DEG_in_2ct(maxLFC=1.74),1
ITGA1,5.6817894408978695,DEG_in_1ct(maxLFC=0.68); comm_receptor,2
SMIM6,5.680345186218759,DEG_in_1ct(maxLFC=3.68),1
KIF5C,5.541665718498864,DEG_in_2ct(maxLFC=1.54),1
INAFM1,5.513845221007898,DEG_in_2ct(maxLFC=1.51),1
NKAIN4,5.457297017546347,DEG_in_1ct(maxLFC=3.46),1
LIMD1,5.44502934102858,DEG_in_2ct(maxLFC=1.45),1
CARHSP1,5.4280901981812795,DEG_in_2ct(maxLFC=1.43),1
PLXDC2,5.413334219027264,DEG_in_2ct(maxLFC=1.41),1
MAGEE1,5.3876932763801255,DEG_in_2ct(maxLFC=1.39),1
MTHFD1L,5.370217992768707,DEG_in_2ct(maxLFC=1.37),1
LAMA4,5.3649415367954685,DEG_in_2ct(maxLFC=1.36),1
NRK,5.35952625590041,DEG_in_1ct(maxLFC=3.36),1
TUNAR,5.33897620034281,DEG_in_1ct(maxLFC=3.34),1
COL18A1,5.306929596787444,DEG_in_2ct(maxLFC=1.31),1
NOP16,5.268659907878165,DEG_in_2ct(maxLFC=1.27),1
RASEF,5.25317762335472,DEG_in_1ct(maxLFC=3.25),1
HEG1,5.230624081871676,DEG_in_2ct(maxLFC=1.23),1
ADRA1D,5.215736894852408,DEG_in_1ct(maxLFC=3.22),1
RASGRP2,5.2154862643248645,DEG_in_1ct(maxLFC=3.22),1
ZBTB8A,5.211492594496011,DEG_in_2ct(maxLFC=1.21),1
COTL1,5.20747132483476,DEG_in_2ct(maxLFC=1.21),1
ADAMTSL1,5.205312360268207,DEG_in_1ct(maxLFC=3.21),1
CST11,5.203718684845878,DEG_in_1ct(maxLFC=3.20),1
PRKG1,5.200545395269897,DEG_in_2ct(maxLFC=1.20),1
ITGAX,5.194666226543797,DEG_in_1ct(maxLFC=3.19),1
CTSC,5.172542620354017,DEG_in_2ct(maxLFC=1.17),1
TYMP,5.126761257661661,DEG_in_2ct(maxLFC=1.13),1
GPSM2,5.035875527148292,DEG_in_2ct(maxLFC=1.04),1
AOX1,5.025963571101685,DEG_in_1ct(maxLFC=3.03),1
CDKL5,4.859687362703047,DEG_in_2ct(maxLFC=0.86),1
STX7,4.838863142046894,DEG_in_2ct(maxLFC=0.84),1
PPP1R1B,4.713396017179322,DEG_in_1ct(maxLFC=2.71),1
MPDU1,4.696520881146477,DEG_in_2ct(maxLFC=0.70),1
ETF1,4.69218979963643,DEG_in_2ct(maxLFC=0.69),1
HNRNPDL,4.575079385285637,DEG_in_2ct(maxLFC=0.58),1
FGF12,4.484119501340986,DEG_in_1ct(maxLFC=2.48),1
FNDC5,4.388409320776034,DEG_in_1ct(maxLFC=2.39),1
SORCS2,4.383140159339497,DEG_in_1ct(maxLFC=2.38),1
FAM83H,4.32879372497043,DEG_in_1ct(maxLFC=2.33),1
BCAN,4.294872095077186,DEG_in_1ct(maxLFC=2.29),1
LAPTM5,4.286272613031242,DEG_in_1ct(maxLFC=2.29),1
RIMS1,4.276114564814975,DEG_in_1ct(maxLFC=2.28),1
PILRA,4.216244544332552,DEG_in_1ct(maxLFC=2.22),1
SLC25A19,4.1536754501012965,DEG_in_1ct(maxLFC=2.15),1
SDK2,4.143068337448557,DEG_in_1ct(maxLFC=2.14),1
LANCL3,4.141296759304481,DEG_in_1ct(maxLFC=2.14),1
LRRC8C,4.107061601165357,DEG_in_1ct(maxLFC=2.11),1
PLPPR5,4.014298554437795,DEG_in_1ct(maxLFC=2.01),1
LRAT,4.004748282599134,DEG_in_1ct(maxLFC=2.00),1
DOT1L,4,TF_diff_2ct,1
NR5A1,4,TF_diff_2ct,1
HRC,3.9877488476991143,DEG_in_1ct(maxLFC=1.99),1
GRID1,3.9729103121319467,DEG_in_1ct(maxLFC=1.97),1
ASS1,3.912469564981255,DEG_in_1ct(maxLFC=1.91),1
STARD8,3.8264782675554745,DEG_in_1ct(maxLFC=1.83),1
THBS2,3.7939865057353646,DEG_in_1ct(maxLFC=1.79),1
GAL,3.792959262631703,DEG_in_1ct(maxLFC=1.79),1
ANXA13,3.7637081481294086,DEG_in_1ct(maxLFC=1.76),1
MAMDC2-AS1,3.752251906576137,DEG_in_1ct(maxLFC=1.75),1
CD79B,3.7468142384677128,DEG_in_1ct(maxLFC=1.75),1
ELMOD1,3.69373314974501,DEG_in_1ct(maxLFC=1.69),1
B4GALT6,3.6850305812148036,DEG_in_1ct(maxLFC=1.69),1
NHS,3.6273739757793377,DEG_in_1ct(maxLFC=1.63),1
PLEKHA6,3.5319740808989817,DEG_in_1ct(maxLFC=1.53),1
LRRC4B,3.5204003597679367,DEG_in_1ct(maxLFC=1.52),1
LOXL1,3.464753248501699,DEG_in_1ct(maxLFC=1.46),1
GCAT,3.41482327477089,DEG_in_1ct(maxLFC=1.41),1
SHC3,3.2903985877832076,DEG_in_1ct(maxLFC=1.29),1
AMPH,3.2131594363848666,DEG_in_1ct(maxLFC=1.21),1
GLIPR1,3.1657779284157668,DEG_in_1ct(maxLFC=1.17),1
HEPH,3.089078556153947,DEG_in_1ct(maxLFC=1.09),1
EPB41L1,3.0318434094854294,DEG_in_1ct(maxLFC=1.03),1
PMEPA1,3.0224666196752805,DEG_in_1ct(maxLFC=1.02),1
LGALS9,3,comm_ligand,1
APP,3,comm_ligand,1
APOE,3,comm_ligand,1
ACVR1B,3,comm_receptor,1
PLAU,3,comm_ligand,1
ACTR2,3,comm_ligand,1
KREMEN1,3,comm_receptor,1
ITGB8,3,comm_receptor,1
RAMP1,3,comm_receptor,1
SEMA4D,3,comm_ligand,1
SEMA3C,3,comm_ligand,1
SDC2,3,comm_receptor,1
LRP5,3,comm_receptor,1
GPC1,3,comm_receptor,1
SEMA3B,3,comm_ligand,1
SDC3,3,comm_receptor,1
COL6A1,3,comm_ligand,1
SDC1,3,comm_receptor,1
SEMA4A,3,comm_ligand,1
CCL28,3,comm_ligand,1
LEFTY1,3,comm_ligand,1
FAM171B,2.9836716596244153,DEG_in_1ct(maxLFC=0.98),1
CAMK2N1,2.9669881198857384,DEG_in_1ct(maxLFC=0.97),1
ASL,2.9611495981959077,DEG_in_1ct(maxLFC=0.96),1
LOXL3,2.9604149766268213,DEG_in_1ct(maxLFC=0.96),1
TCF7L1,2.927877133878247,DEG_in_1ct(maxLFC=0.93),1
SPIN1,2.9244382746975988,DEG_in_1ct(maxLFC=0.92),1
TIMM8A,2.8609400128936953,DEG_in_1ct(maxLFC=0.86),1
PCDHB16,2.773519102371438,DEG_in_1ct(maxLFC=0.77),1
APPL2,2.746621073241668,DEG_in_1ct(maxLFC=0.75),1
MOGS,2.7380514939086305,DEG_in_1ct(maxLFC=0.74),1
CREB3L2,2.7305796789411105,DEG_in_1ct(maxLFC=0.73),1
SNX16,2.7179168162813934,DEG_in_1ct(maxLFC=0.72),1
NAB1,2.5071027124678587,DEG_in_1ct(maxLFC=0.51),1
