source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
SOX9+LGR5+_stem,Basalis_fibroblast,MDK,LRP1,1.6977577,0.0,2.530458,1.6576371680192052,1.7862483099941604,0.05857564,0.9166011,0.0009573086460138508,0.0014678817465220676
Basalis_fibroblast,Macrophages,LGALS1,ITGB1,1.9422958,0.0,2.1627345,0.372652798639029,0.30335154735670944,0.006038426,0.9103997,0.588616271077735,0.0014880260232861397
NKT_cells,Basalis_fibroblast,HLA-A,APLP2,1.8565971,0.0,2.1626308,0.4202662483436621,0.5367300810214658,0.0067610913,0.9103977,0.5384736567818308,0.0014920711650198992
Decidualized_stromal,SOX9+LGR5+_stem,MDK,NCL,1.6955473,0.0,2.872958,0.6310584984735861,0.7159273823995681,0.011699563,0.9213266,0.11717387137091073,0.001500177775744229
Lymphoid_immune,CD133+_progenitor,HLA-A,APLP2,1.6951238,0.0,2.654165,0.30140502468370084,0.24877470487783726,0.008297789,0.91840744,0.3256921056973726,0.0015083063699628135
Basalis_fibroblast,SOX9+LGR5+_stem,PTN,NCL,1.694247,0.0,2.8686626,1.0078320000501126,1.2138475493125884,0.021685535,0.92127234,0.04548363558213248,0.001512378722438405
Decidualized_stromal,SOX9+LGR5+_stem,COL1A1,CD44,1.9415348,0.0,2.1541183,0.8638818460485425,1.1077716082428073,0.013078831,0.9102367,0.0807947565954193,0.0015205397516934518
Lymphatic_endothelium,SOX9+LGR5+_stem,VIM,CD44,1.9370506,0.0,2.1481047,0.10730917928533076,-0.131798471481544,0.004428289,0.91012245,1.0,0.0015369273190511997
Decidualized_stromal,SOX9+LGR5+_stem,FBLN1,ITGB1,1.6888218,0.0,2.7623138,0.805055618096806,0.7795460484822335,0.016856113,0.91989136,0.07556792805553825,0.001545153855154454
SOX9+LGR5+_stem,SOX9+LGR5+_stem,TNFSF12,TNFRSF25,0.053625394,1.0,0.0028177993,-0.0737848518137894,-0.09563719104004975,0.0027497818,0.2683399,1.0,0.0015853442738103843
Basalis_fibroblast,Decidualized_stromal,PTN,NCL,1.686714,0.0,2.8424964,0.9990735871783623,1.2389300508906638,0.021487731,0.9209394,0.04854193767899717,0.0015907879636274337
SOX9+LGR5+_stem,Basalis_fibroblast,ANXA1,EGFR,1.748654,0.0,2.130059,1.2507103208824597,1.5945070174280986,0.040691122,0.9097768,0.00671160742041089,0.0016033479365438529
